Target,Disease,EFO ID,Drug,Mechanism of action,Hypothesis path,Related genes,Article
IL2RA/IL2RB,Relapsing Multiple Sclerosis (RMS),EFO:0003929,"Daclizumab, Basiliximab, v",Zenepax binds with high-affinity to the Tac subunit of the high-affinity IL-2 receptor complex and inhibits IL-2 binding. The IL-2 receptor (Tac) subunit is expressed on activated but not resting lymphocytes.,"IL2RA, IL2","IL2RA, IL2, IL12, CXCL13, IGHG1, GZMK, IFNB1, HLA-G, FOXP3, CD8A, CD4",DOI: 10.1038/nrneurol.2013.95
S1PR5/S1PR4/S1PR3/S1PR1,Relapsing Multiple Sclerosis (RMS),EFO:0003929,"Fingolimod, Siponimod, Ozanimod","Fingolimod phosphate, is a sphingosine 1-phosphate receptor modulator, that exerts its mechanism of action by binding to various sphingosine 1-phosphate receptors. It suppresses the exit of lymphocytes from lymph nodes, leading to a lower level of lymphocytes circulating in peripheral circulation. This reduces the inflammation that is associated with MS.",,"GNAI3, PLCG1, Ras, MAPK1, AKT1, HDAC1, SPHK1, SPHK2, CERS1, CCR7",DOI: 10.3389/fneur.2016.00139 DOI: 10.1007/s13311-017-0565-4
SRD5A1/SRD5A2,"Alopecia, benign prostatic hyperplasia","EFO:0004192, EFO:0000284","Finasteride, Spironolactone, Testosterone cypionate","Finasteride acts as a competitive and specific inhibitor of Type II 5α-reductase, intracellular enzyme that converts the androgen testosterone into the more active metabolite, 5α-dihydrotestosterone (DHT). DHT appears to be the principal androgen responsible for stimulation of prostatic growth, a decrease in DHT concentrations will result in a decrease in prostatic volume. It is suggested that increased levels of DHT can lead to potentiated transcription of prostaglandin D2, which promotes the proliferation of prostate cancer cells.In men with androgenic alopecia, the mechanism of action has not been fully determined, but finasteride has shown to decrease scalp DHT concentration to the levels found in the hairy scalp, reduce serum DHT, increase hair regrowth, and slow hair loss.","SRD5A1, NR3C4","SRD5A1, NR3C4, FGF7, EGF, IGF1, TGFB1",DOI: 10.1038/nrdp.2016.31
KRT2/KRT12,Psoriasis,EFO:0000676,Anthralin,"Anthralin inhibits the proliferation of keratinocytes, prevents the action of T-cells, and promotes cell differentiation, likely through mitochondrial dysfunction. In vivo studies demonstrate that anthralin blocks DNA synthesis and can increase the release of reactive oxygen species",,"KRT2, KRT12, MAPK1, MAPK3, JUN, FOS, NFKB1",DOI: 10.1111/j.1365-2133.1989.tb07760.x.
GABRA1/GABBR1,Depression,EFO:0003761,"Alprazolam, Pentobarbital, Metharbital, Primidone, Picrotoxin","Alprazolam is a triazolobenzodiazepine used to treat certain anxiety and panic disorders.Label Alprazolam acts on benzodiazepine receptors BNZ-1 and BNZ-2. The effect of alprazolam on BNZ-1 mediates the sedation and anti-anxiety effects of the drug while the action on BNZ-2 mediates effects on memory, coordination, muscle relaxation, and anticonvulsive activity.",GABRA1,"GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3",DOI: 10.1038/mp.2010.120
OPRM1,Moderate pain,EFO:0003843,"Codeine, Morphine, Levallorphan","Codeine is a selective agonist for the mu opioid receptor, but with a much weaker affinity to this receptor than morphine, a more potent opioid drug. Codeine binds to mu-opioid receptors, which are involved in the transmission of pain throughout the body and central nervous system. The analgesic properties of codeine are thought to arise from its conversion to Morphine, although the exact mechanism of analgesic action is unknown at this time.",OPRM1,"ATP1A2, SCN1A, MEFV, SEPT9, SCN9A, SPTLC1, HSN2, IKBKAP, NTRK1, NGFB, PRKCA, MAP2K1, MAP2K2, CREB1, CREBBP",DOI: 10.1371/journal.pone.0157806.g006
"HTR1A, HTR1B, HTR1D",Migraine,EFO:0003821,"Ketamine, Almotriptan, Rizatriptan","Almotriptan is a selective 5-hydroxytryptamine receptor subtype agonist indicated for the acute treatment of migraine attacks in adults. Almotriptan is not intended for the prophylactic therapy of migraine or for use in the management of hemiplegic or basilar migraine. Almotriptan is an agonist for a vascular 5-hydroxytryptamine receptor subtype. This action in humans correlates with the relief of migraine headache. In addition to causing vasoconstriction, experimental data from animal studies show that Almotriptan also activates 5-HT1 receptors on peripheral terminals of the trigeminal nerve innervating cranial blood vessels, which may also contribute to the antimigrainous effect of Almotriptan in humans.",HTR1A/HTR1B/HTR1D,"KCNK18, CACNA1A, CSNK1D, ALPK1, PRRT2, PNKD, SLC1A3, NOTCH3, COL4A1, COL4A2, TREX1, ATP1A2, SCN1A, MTDH, LRP1, PRDM16, MEF2D, ASTN2, PHACTR1",DOI: 10.1186/s13052-014-0092-4
PRKAB1,Type 2 Diabetes Mellitus,EFO:0001360,Metformin,"OCT1 is responsible for the uptake of metformin into hepatocytes (liver cells). Metformin inhibits mitochondrial complex I, preventing the production of mitochondrial ATP leading to increased cytoplasmic ADP:ATP and AMP:ATP ratios. These changes activate AMP-activated protein kinase (AMPK), an enzyme that plays an important role in the regulation of glucose metabolism. Following this process, increases in AMP:ATP ratio also inhibit fructose-1,6-bisphosphatase enzyme, resulting in the inhibition of gluconeogenesis, while also inhibiting adenylate cyclase and decreasing the production of cyclic adenosine monophosphate (cAMP), a derivative of ATP used for cell signaling. Activated AMPK phosphorylates two isoforms of acetyl-CoA carboxylase enzyme, thereby inhibiting fat synthesis and leading to fat oxidation, reducing hepatic lipid stores and increasing liver sensitivity to insulin. In the intestines, metformin increases anaerobic glucose metabolism in enterocytes (intestinal cells), leading to reduced net glucose uptake and increased delivery of lactate to the liver.","OCT1, PRKAB1, AMPK, ACACA","OCT1, MT-ND2, MT-ND3, MT-ND4, MT-ND4L, MT-ND5, MT-ND6, NDUFS1, NDUFS2, NDUFS3, NDUFS7, NDUFS8, NDUFV1, NDUFV2, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, STK11, CREBBP, CRTC1, ADCY1",
"CACNA1C, CACNA1B, CACNB1, CACNA2D3",Hypertension,EFO:1001153,"Amlodipine, Enflurane, Butamben",Amlodipine is a dihydropyridine calcium antagonist (calcium ion antagonist or slow-channel blocker) that inhibits the influx of calcium ions into both vascular smooth muscle and cardiac muscle. The contraction of cardiac muscle and vascular smooth muscle are dependent on the movement of extracellular calcium ions into these cells by specific ion channels. Amlodipine blocks calcium ion influx across cell membranes with selectivity. A stronger effect of amlodipine is exerted on vascular smooth muscle cells than on cardiac muscle cells Label. Direct actions of amlodipine on vascular smooth muscle result in reduced blood pressure.,"CACNA1C, TNNC, MYL2","SERCA, CACNA1C, CACNA1B, CACNB1, CACNA2D3, TNNC, TNNC2, TNNT3, TNNI2, ACTA1, MYH11, MYLK, MYPT1, MYL9, MYL6, ACTA2, MYLPF, MYH4, MYLK2, MYL1, MYOCD, MEF2C, SRF, TBX5, GATA4, TNNC1, TNNT2, TNNI1, MYL2, MYL4, MYH7, ACTC1, MYLK3, MYPT2",DOI: 10.1073/pnas.1722219115
ATP4A,"Duodenal Ulcer, Gastro-esophageal Reflux Disease (GERD), Gastric Ulcer","EFO:0004607, EFO:0009454, EFO:0003948","Omeprazole, Pantoprazole, Esomeprazole","Omeprazole stop gastric acid secretion by selective inhibition of the H+/K+ ATPase enzyme system. Proton-pump inhibitors such as omeprazole bind covalently to cysteine residues via disulfide bridges on the alpha subunit of the H+/K+ ATPase pump, inhibiting gastric acid secretion.",ATP4A,,
"SLC6A2, SLC6A3, SLC6A4","Depression, Panic disorder, major depressive disorder","EFO:0003761, EFO:0004262, EFO:0007634","Sertraline, Imipramine, Tramadol, Reboxetine","Sertraline selectively inhibits the reuptake of serotonin (5-HT) at the presynaptic neuronal membrane, thereby increasing serotonergic activity. This results in an increased synaptic concentration of serotonin in the CNS, which leads to numerous functional changes associated with enhanced serotonergic neurotransmission. These changes are believed to be responsible for the antidepressant action and beneficial effects in obsessive-compulsive disorders. It has been hypothesized that obsessive-compulsive disorder, like depression, is also caused by the disregulation of serotonin.","SLC6A2, SLC6A3, SLC6A4","SCAMP2, PPP2CA, ABCC1, POP1, PICK1, PKG",
CYSLTR1,"Asthma, Chronic broncitis, Rhinitis","EFO:0000270, EFO:0006505, EFO:0008521","Montelukast, Nedocromil, Zafirlukast","Montelukast is a leukotriene receptor antagonist that binds with high affinity and selectivity to the CysLT type 1 receptor, which consequently assists in inhibiting any physiological actions of CysLTs like LTC4, LTD4, and LTE4 at the receptor. Cysteinyl leukotrienes (CysLT) and others, are eicosanoids released by a variety of cells like mast cells and eosinophils. When such CysLT bind to corresponding CysLT receptors like CysLT type-1 receptors located on respiratory airway smooth muscle cells, airway macrophages, and on various pro-inflammatory cells like eosinophils and some specific myeloid stem cells activities that facilitate the pathophysiology of asthma and allergic rhinitis are stimulated.","CYSLTR1, PRKCA, CREB1;","CYSLTR1, PIK3CA, AKT1, GSK3B, CTNNB1, TCF7, CYSLTR1, PRKCA, CREB1, CYSLTR1, PLC, RAF1, MAP2K1/MAP2K2, MAPK3/MAPK1, RPS6KA1, LTA4H, LTC4S, ALOX5, ABCC1",
"ADRA1A, ADRA1B, ADRA1D",benign prostatic hyperplasia,EFO:0000284,"Tamsulosin, Terazosin, Prazosin","Tamsulosin is a blocker of alpha-1A and alpha-1D adrenoceptors. About 70% of the alpha-1 adrenoceptors in the prostate are of the alpha-1A subtype. Label By blocking these adrenoceptors, smooth muscle in the prostate is relaxed and urinary flow is improved. The blocking of alpha-1D adrenoceptors relaxes the detrusor muscles of the bladder which prevents storage symptoms. The specificity of tamsulosin focuses the effects to the target area while minimizing effects in other areas.","ADRA1A, GNAI3, GNAI2, GNAI1, PLCG1, DAG1","ADRA1A, GNAI3, GNAI2, GNAI1, PLCG1, DAG1",
"GABRA1, GABRA2, GABRA3",Insomnia,EFO:0004698,"Zolpidem, Etomidate, Talbutal","Subunit binding of the GABAA receptor chloride channel macromolecular complex is thought to lead to the sedative, anticonvulsant, anxiolytic, and myorelaxant drug effects of zolpidem. The main regulatory site of the GABAA receptor complex can be found on its alpha-subunit and is called the benzodiazepine receptor. 
Zolpidem binds the (BZ1) receptor specifically with a potent affinity for the alpha 1/alpha 5 subunits (in vitro).","GABRA1, GABRA2, GABRA3","GABRA1, GABRA2, GABRA3",
VKORC1,"Deep Venous Thrombosis, Pulmonary Embolism","EFO:0003907, EFO:0003827","Warfarin, Menadione","Warfarin inhibit the production of vitamin K by vitamin K epoxide reductase. The reduced form of vitamin K, vitamin KH2 is a cofactor used in the γ-carboxylation of coagulation factors VII, IX, X, and thrombin. Carboxylation induces a conformational change allowing the factors to bind Ca2+ and to phospholipid surfaces. Uncarboxylated factors VII, IX, X, and thrombin are biologically inactive and therefore serve to interrupt the coagulation cascade.","VKORC1, F7, F9 F10, F2, FGA","F2, FGA/FGB F2, FGA, FGB, PAR1, PAR3, PAR4, F13, CPB2, PROC, PROCR, F10",
HRH2,"Duodenal Ulcer, Gastro-esophageal Reflux Disease (GERD), Gastric Ulcer","EFO:0004607, EFO:0009454, EFO:0003948","Ranitidine, Nizatidine, Doxepin","After a meal, the hormone gastrin, produced by cells in the lining of the stomach, stimulates the release of histamine, which then binds to histamine H2 receptors, leading to the secretion of gastric acid. Ranitidine reduces the secretion of gastric acid by reversible binding to histamine (H2) receptors, which are found on gastric parietal cells. This process leads to the inhibition of histamine binding to this receptor, causing the reduction of gastric acid secretion.","HRH2, ADCY1, PRKACA, ATP4A","HRH2, ADCY1, PRKACA, ATP4A",
CFTR,Cystic Fibrosis (CF),Orphanet:586,"Tezacaftor, Crofelemer, Ivacaftor, Lumacaftor","The transport of charged ions across cell membranes is normally achieved through the actions of the cystic fibrosis transmembrane regulator (CFTR) protein. This protein acts as a channel and allows for the passage of chloride and sodium. This process affects the movement of water in and out of the tissues and impacts the production of mucus that lubricates and protects certain organs and body tissues, including the lungs. CFTR correctors such as tezacaftor aim to repair cellular misprocessing. This is done by modulating the position of the CFTR protein on the cell surface to the correct position, allowing for adequate ion channel formation and increased in water and salt movement through the cell membrane. The concomitant use of ivacaftor is intended to maintain an open channel, increasing the transport of chloride, reducing thick mucus production","CTNNB1, NFKB1, PTGS2/IL8","TGM2, BECN2, PKG2, NFKB1, CTNNB1, PTGS2, RNF5, TMEM16A, P2R, TLR4, CCL2, IL8,",
"MAP2K1, MAP2K2",Neurofibromatosis,EFO:0008514,"Selumetinib, Binimetinib","The Ras-Raf-MEK-ERK signaling cascade is known to be activated in several types of cancer, and regulates the transcription of proteins involved in apoptosis. In addition, studies have shown that mutations of the Raf component of the pathway can contribute to chemotherapy drug resistance. Selumetinib exerts its effects by selectively inhibiting MEK1 and MEK2 which can effectively blunt the pleiotropic effects of the Ras-Raf-MEK-ERK cascade. By inhibiting this oncogenic pathway, selumetinib reduces cell proliferation, and promotes pro-apoptotic signal transduction.","MAP2K1/MAP2K2, MAPK1/MAPK3","CCND1, CDKN1A, NFKB1, MAP2K1, MAP2K2, MAPK1, MAPK3",
PAH,Phenylketonuria,Orphanet:716,Sapropterin,"Tetrahydrobiopterin is a natural co-factor or co-enzyme for phenylalanine-4-hydroxylase, tetrahydrobiopterine, and tryptophan-5-hydroxylase. Tetrahydrobiopterin is also a natural co-factor for nitrate oxide synthase. BH4 is required for the conversion of phenylalanine to tyrosine, for the production of epinephrine and the synthesis of the monoamine neuro-transmitters, serotonin, dopamine, and norepinephrine. It is also involved in apoptosis and other cellular events mediated by nitric oxide production.",PAH,"PAH, NOS3, LAT1",
GLA,Fabry disease,Orphanet:324,Migalastat,"Fabry disease is a progressive X-linked lysosomal storage disorder. Fabry disease-causing mutations occur in the galactosidase alpha (GLA) gene and result in a deficiency of the lysosomal enzyme alpha-galactosidase A that is required for glycosphingolipid substrate (GL-3 and lyso-Gb3) metabolism. Migalastat is a pharmacological chaperone that is designed to bind with high affinity active sites of mutant alpha-Gal A. Migalastat binding stabilizes these mutant forms of alpha-Gal A in the endoplasmic reticulum and facilitates their proper trafficking to lysosomes. Once in the lysosomes and surrounded by an environment defined by lower pH and higher concentrations of relevant glycosphingolipid substrates, migalastat dissociates from alpha-Gal A, thereby restoring the alpha-Gal A activity, leading to the catabolism of glycosphingolipids like globotriaosylceramide (GL-3) and globotriaosylsphingosine (lyso-Gb3) since the alpha-Gal A variants still retain enzymatic activity.",GLA,"CST3, OGA, B2M, UMOD, RBP4, AMBP, IL6, MCP1, MMP9",
HRH3,"Narcolepsy With Cataplexy, Narcolepsy Without Cataplexy","EFO:0000614, EFO:0005855","Pitolisant, Betahistine, Histamine","Narcolepsy is characterized by insufficient neurotransmission by orexins, or hypocretins, which are excitatory peptides released by neurons located from the lateral hypothalamus. These neurons project to aminergic neurons, such as histaminergic or noradrenergic neurons, that are responsible for the effects of orexin and control of wakefulness. H3 receptors promote the re-uptake of histamine at synaptic terminals and attenuate further histamine release into the synapse. By blocking H3 autoreceptors and increasing the levels of histamine transmitters at the synapse, pitolisant enhances the activity of histaminergic neurons and promotes wakefulness. Inverse agonism of pitolisant at H3 receptors also leads to enhanced synthesis and release of endogenous histamine over the basal level.","HRH3, HRH1/HRH2","HRH3, HRH1, HRH2, PLA2G2A, GSK3B, PIK3CA, AKT, TSC1",
"LHCGR, GNRHR",Endometriosis,EFO:0001065,"Buserelin, Goserelin, Menotropins","Buserelin stimulates the pituitary gland's gonadotrophin-releasing hormone receptor (GnRHR). Buserelin desensitizes the GnRH receptor, reducing the amount of gonadotropin. In males, this results in a reduction in the synthesis and release of testosterone. In females, estrogen secretion is inhibited. While initially, there is a rise in FSH and LH levels, chronic administration of Buserelin results in a sustained suppression of these hormones.",GNRHR,"WNT7A, HOXB7, HOXA10, MCM3, MCM6, MCM7",
TOP2A,Multiple cancers,,"Etoposide, Dactinomycin, Idarubicin","Etoposide inhibits DNA topoisomerase II, thereby inhibiting DNA re-ligation. This causes critical errors in DNA synthesis at the premitotic stage of cell division and can lead to apoptosis of the cancer cell. Etoposide is cell cycle dependent and phase specific, affecting mainly the S and G2 phases of cell division. Inhibition of the topoisomerase II alpha isoform results in the anti-tumour activity of etoposide. The drug is also capable of inhibiting the beta isoform but inhibition of this target is not associated with the anti-tumour activity. It is instead associated with the carcinogenic effect.","TOP2A, TCF4, CTNNB1","TOP2A, TCF4, CTNNB1, MDM4, P53",
HPRT1,Multiple cancers,,Mercaptopurine,"Mercaptopurine competes with hypoxanthine and guanine for the enzyme hypoxanthine-guanine phosphoribosyltransferase (HGPRTase) and is itself converted to thioinosinic acid (TIMP). TIMP inhibits several reactions that involve inosinic acid (IMP), such as the conversion of IMP to xanthylic acid (XMP) and the conversion of IMP to adenylic acid (AMP) via adenylosuccinate (SAMP). Upon methylation, TIMP forms 6-methylthioinosinate (MTIMP) which inhibits glutamine-5-phosphoribosylpyrophosphate amidotransferase in addition to TIMP.","HPRT1, IMPDH1; HPRT1, ADSS2, ADSL","TPMT, TIMP1, TIMP2, COL12A1, IL6, CDH1, CCL2, IMPDH1, ADSS2, ADSL",
IL1R1,"Juvenile Idiopathic Arthritis (JIA), Moderate Rheumatoid arthritis, Recurrent Pericarditis, Severe Rheumatoid arthritis","EFO:1001999, EFO:0003778, EFO:0007427","Anakinra, Rilonacept","Anakinra blocks the biologic activity of IL-1 by competitively inhibiting IL-1 binding to the interleukin-1 type I receptor (IL-1R), which is expressed in a wide variety of tissues and organs. IL-1 production is induced in response to inflammatory stimuli and mediates various physiologic responses including inflammatory and immunological responses. Patients with rheumatoid arthritis have elevated levels of IL-1.","IL1R1, MYD88, NFKB1","IL1R1, NFKB1, NLRP3, CASP1, ASC, PYRIN",
NLRP3,Asthma,EFO:0000270,Tranilast,"tranilast (TR), an old anti‐allergic clinical drug, is a direct NLRP3 inhibitor. TR inhibits NLRP3 inflammasome activation in macrophages, but has no effects on AIM2 or NLRC4 inflammasome activation. Mechanismly, TR directly binds to the NACHT domain of NLRP3 and suppresses the assembly of NLRP3 inflammasome by blocking NLRP3 oligomerization","NLRP3, ASC, CASP1, IL1B","NLRP3, ASC, CASP1, IL1B, NFKB1",
"NTRK1, NTRK2, NTRK3",Multiple cancers,,"Larotrectinib, Regorafenib, Entrectinib","Tropomysoin Receptor Kinases (TRK) like TRKA, TRKB, and TRKC elicit activities that regulate the natural growth, differentiation, and survival of neurons when they interact with endogenous neutrotrophin ligands. TRKA, TRKB, and TRKC are themselves encoded by the NTRK1, NTRK2, and NTRK3 genes, respectively. Larotrectinib functions as an inhibitor of TRKs including TRKA, B, and C. It has been discovered that chromosomal rearrangements involving in-frame fusions of these genes with various partners, translocations in the TRK kinase domains, mutations in the TRK ligand-binding site, amplifications of NTRK, or the expression of TRK splice variants can result in constitutively-activated chimeric TRK fusion proteins that can act as oncogenic drivers that promote cell proliferation and survival in tumor cell lines.","NTRK1, IP3R; NTRK2, SHC1, GRB2, RAS, RAF1, MAP2K1/MAP2K2, MAPK3/MAPK1","PIK3R1, NFKB2, AKT, NTRK1, IP3R; NTRK2, SHC1, GRB2, RAS, RAF1, MAP2K1/MAP2K2, MAPK3/MAPK1",
ATP1A1,"Heart failure, Arrhythmias","EFO:0003144, EFO:0004269","Deslanoside, Acetyldigitoxin, Trichlormethiazide","Deslanoside inhibits the Na-K-ATPase membrane pump, resulting in an increase in intracellular sodium and calcium concentrations. Increased intracellular concentrations of calcium may promote activation of contractile proteins (e.g., actin, myosin). Deslanoside also acts on the electrical activity of the heart, increasing the slope of phase 4 depolarization, shortening the action potential duration, and decreasing the maximal diastolic potential.","ATP1A1, CACNA1C, TNNC, MYL2","ATP1A1, CACNA1C, TNNC, MYL2",
"VEGFA, VEGFB, PGF",Metastatic colorectal cancer,EFO:1001480,"Aflibercept, Sorafenib, Sunitinib","Ablibercept is a recombinant fusion protein that acts as a decoy receptor for the ligands, vascular endothelial growth factor-A (VEGF-A) and placental growth factor (PGF). It prevents these ligands to binding to endothelial receptors, VEGFR-1 and VEGFR-2, to suppress neovascularization and decrease vascular permeability. This ultimately will slow vision loss or the progression of metastatic colorectal cancer.","VEGFA, VEGFR1/VEGFR2, TLR4, NFKB1, MCP1/CCL5","VEGFA, VEGFR1,VEGFR2, TLR4, NFKB1, MCP1, CCL5",
TYMS,"Breast cancer, 
Rectal carcinoma","EFO:0005631, EFO:0005607","Fluorouracil, Floxuridine, Raltitrexed","The main mechanism of fluorouracil is thought to be the binding of the deoxyribonucleotide of the drug (FdUMP) and the folate cofactor, N5–10-methylenetetrahydrofolate, to thymidylate synthase (TS) to form a covalently bound ternary complex. This results in the inhibition of the formation of thymidylate from uracil, which leads to the inhibition of DNA and RNA synthesis and cell death.","TYMS,P53/DUT","TK1, ABCC4, ABCG2, RRM1, RRM2, ABCC5, ERCC2, TDG2, XRCC3, SMUG1",
IL11RA,Thrombocytopenia,HP:0001873,Oprelvekin,"Oprelvekin binds to the interleukin 11 receptor which leads to a cascade of signal transduction events. Its pharmacological action mimics the biological activity of endogenous IL-11, which is a thrombopoietic growth factor that directly stimulates the proliferation of hematopoietic stem cells and megakaryocyte progenitor cells and induces megakaryocyte maturation resulting in increased platelet production.","IL11RA, JAK1/JAK2/TYK, STAT1/STAT3, CCND1/BCL2/SOCS3","IL11RA, JAK1, JAK2, TYK, SHP2, STAT1, STAT3, IL11RA, JAK1, JAK2, TYK, CCND1, BCL2, SOCS3, RAF1, MAP2K1, MAP2K2, MAPK3, MAPK1",
